Head,Relation,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text
union institution,award,contracts on union institutions when,"['contract', 'union institution']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 161  Annex on procurement and delegation of powers ,"Detailed rules on procurement are laid down in Annex I to this Regulation. To ensure that Union institutions, when awarding contracts on their own account, apply the same standards as those imposed on contracting authorities covered by Directives 2014/23/EU and 2014/24/EU, the Commission is empowered to adopt delegated acts in accordance with Article 269 of this Regulation to amend Annex I to this Regulation, in order to align that Annex to amendments to those Directives and to introduce related technical adjustments."
union institution,apply,the same standards as those imposed on contracting authorities covered by directives 201423eu and,"['standard', 'contracting authority']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 161  Annex on procurement and delegation of powers ,"Detailed rules on procurement are laid down in Annex I to this Regulation. To ensure that Union institutions, when awarding contracts on their own account, apply the same standards as those imposed on contracting authorities covered by Directives 2014/23/EU and 2014/24/EU, the Commission is empowered to adopt delegated acts in accordance with Article 269 of this Regulation to amend Annex I to this Regulation, in order to align that Annex to amendments to those Directives and to introduce related technical adjustments."
title,apply,to contracts for technical assistance concluded with the eib or the eif,"['contract', 'technical assistance', 'eib', 'eif']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 162  Mixed contracts and common procurement vocabulary ,"A mixed contract covering two or more types of procurement (works, supplies or services) or concessions (works or services) or both, shall be awarded in accordance with the provisions applicable to the type of procurement that characterises the main subject matter of the contract in question. In the case of mixed contracts consisting of supplies and services, the main subject matter shall be determined by a comparison of the values of the respective supplies or services. A contract covering one type of procurement (works, supplies or services) and concessions (works or services) shall be awarded in accordance with the provisions applicable to the public contract concerned. This Title shall not apply to contracts for technical assistance concluded with the EIB or the EIF. Any references to nomenclatures in the context of procurement shall be made using the Common Procurement Vocabulary (CPV) as set out in Regulation (EC) No 2195/2002 of the European Parliament and of the Council ( 1 )."
reference nomenclature context procurement,use,the common procurement vocabulary (cpv) as set out in regulation (ec),"['common procurement vocabulary', 'regulation', 'ec']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 162  Mixed contracts and common procurement vocabulary ,"A mixed contract covering two or more types of procurement (works, supplies or services) or concessions (works or services) or both, shall be awarded in accordance with the provisions applicable to the type of procurement that characterises the main subject matter of the contract in question. In the case of mixed contracts consisting of supplies and services, the main subject matter shall be determined by a comparison of the values of the respective supplies or services. A contract covering one type of procurement (works, supplies or services) and concessions (works or services) shall be awarded in accordance with the provisions applicable to the public contract concerned. This Title shall not apply to contracts for technical assistance concluded with the EIB or the EIF. Any references to nomenclatures in the context of procurement shall be made using the Common Procurement Vocabulary (CPV) as set out in Regulation (EC) No 2195/2002 of the European Parliament and of the Council ( 1 )."
contracting authority,publish,for procedures with a value equal to or greater than the thresholds referred to in article 175(1) or article 178 in the official journal of the european union,"['procedure', 'value', 'threshold', 'article', 'article', 'official journal', 'european union']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 163  Publicity measures ,"For procedures with a value equal to or greater than the thresholds referred to in Article 175(1) or Article 178, the contracting authority shall publish in the Official Journal of the European Union: (a) a contract notice to launch a procedure, except in the case of the procedure referred to in point (d) of Article 164(1);  L 193/111 1). (b) a contract award notice on the results of the procedure. Procedures with a value below the thresholds referred to in Article 175(1) or Article 178 shall be advertised by appropriate means. Publication of certain information on a contract award may be withheld where its release would impede law enforcement, or otherwise be contrary to the public interest, would harm the legitimate commercial interests of economic operators or might prejudice fair competition between them."
procedure value threshold,refer,to in article 175(1,['article'],TITLE VII PROCUREMENT AND CONCESSIONS,Article 163  Publicity measures ,"For procedures with a value equal to or greater than the thresholds referred to in Article 175(1) or Article 178, the contracting authority shall publish in the Official Journal of the European Union: (a) a contract notice to launch a procedure, except in the case of the procedure referred to in point (d) of Article 164(1);  L 193/111 1). (b) a contract award notice on the results of the procedure. Procedures with a value below the thresholds referred to in Article 175(1) or Article 178 shall be advertised by appropriate means. Publication of certain information on a contract award may be withheld where its release would impede law enforcement, or otherwise be contrary to the public interest, would harm the legitimate commercial interests of economic operators or might prejudice fair competition between them."
article 178,advertise,by appropriate means,['appropriate mean'],TITLE VII PROCUREMENT AND CONCESSIONS,Article 163  Publicity measures ,"For procedures with a value equal to or greater than the thresholds referred to in Article 175(1) or Article 178, the contracting authority shall publish in the Official Journal of the European Union: (a) a contract notice to launch a procedure, except in the case of the procedure referred to in point (d) of Article 164(1);  L 193/111 1). (b) a contract award notice on the results of the procedure. Procedures with a value below the thresholds referred to in Article 175(1) or Article 178 shall be advertised by appropriate means. Publication of certain information on a contract award may be withheld where its release would impede law enforcement, or otherwise be contrary to the public interest, would harm the legitimate commercial interests of economic operators or might prejudice fair competition between them."
publication certain information contract award,withhold,where publication of certain information on a contract award release would impede law enforcement or otherwise be contrary to the public interest,"['publication', 'certain information', 'contract award release', 'law enforcement', 'public interest']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 163  Publicity measures ,"For procedures with a value equal to or greater than the thresholds referred to in Article 175(1) or Article 178, the contracting authority shall publish in the Official Journal of the European Union: (a) a contract notice to launch a procedure, except in the case of the procedure referred to in point (d) of Article 164(1);  L 193/111 1). (b) a contract award notice on the results of the procedure. Procedures with a value below the thresholds referred to in Article 175(1) or Article 178 shall be advertised by appropriate means. Publication of certain information on a contract award may be withheld where its release would impede law enforcement, or otherwise be contrary to the public interest, would harm the legitimate commercial interests of economic operators or might prejudice fair competition between them."
publication certain information contract award,harm,the legitimate commercial interests of economic operators,"['legitimate commercial interest', 'economic operator']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 163  Publicity measures ,"For procedures with a value equal to or greater than the thresholds referred to in Article 175(1) or Article 178, the contracting authority shall publish in the Official Journal of the European Union: (a) a contract notice to launch a procedure, except in the case of the procedure referred to in point (d) of Article 164(1);  L 193/111 1). (b) a contract award notice on the results of the procedure. Procedures with a value below the thresholds referred to in Article 175(1) or Article 178 shall be advertised by appropriate means. Publication of certain information on a contract award may be withheld where its release would impede law enforcement, or otherwise be contrary to the public interest, would harm the legitimate commercial interests of economic operators or might prejudice fair competition between them."
publication certain information contract award,prejudice,fair competition between the legitimate commercial interests of economic operators,"['fair competition', 'legitimate commercial interest', 'economic operator']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 163  Publicity measures ,"For procedures with a value equal to or greater than the thresholds referred to in Article 175(1) or Article 178, the contracting authority shall publish in the Official Journal of the European Union: (a) a contract notice to launch a procedure, except in the case of the procedure referred to in point (d) of Article 164(1);  L 193/111 1). (b) a contract award notice on the results of the procedure. Procedures with a value below the thresholds referred to in Article 175(1) or Article 178 shall be advertised by appropriate means. Publication of certain information on a contract award may be withheld where its release would impede law enforcement, or otherwise be contrary to the public interest, would harm the legitimate commercial interests of economic operators or might prejudice fair competition between them."
interested economic operator,submit,a tender in open procedures,"['tender', 'open procedure']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures ,"Procurement procedures for awarding concession contracts or public contracts, including framework contracts shall take one of the following forms: (a) open procedure; (b) restricted procedure, including through a dynamic purchasing system; (c) design contest; (d) negotiated procedure, including without prior publication; (e) competitive dialogue; (f) competitive procedure with negotiation; (g) innovation partnership; (h) procedures involving a call for expression of interest. In open procedures any interested economic operator may submit a tender. In restricted procedures, competitive dialogues, competitive procedures with negotiation and innovation partner­ships, any economic operator may submit a request to participate by providing the information that is requested by the contracting authority. The contracting authority shall invite all candidates, that satisfy the selection criteria and that are not in any of the situations referred to in Articles 136(1) and 141(1), to submit a tender. Notwithstanding the first subparagraph, the contracting authority may limit the number of candidates to be invited to participate in the procedure on the basis of objective and non-discriminatory selection criteria, which shall be indicated in the contract notice or the call for expression of interest. The number of candidates invited shall be sufficient to ensure genuine competition. In all procedures involving negotiation, the contracting authority shall negotiate with tenderers the initial and any subsequent tenders or parts thereof, except their final tenders, in order to improve their content. The minimum requirements and the criteria specified in the procurement documents shall not be subject to negotiation. A contracting authority may award a contract on the basis of the initial tender without negotiation where it has indicated in the procurement documents that it reserves the possibility to do so. The contracting authority may use: (a) the open or restricted procedure for any purchase; (b) the procedures involving a call for expression of interest for contracts with a value below the thresholds referred to in Article 175(1), to preselect candidates to be invited to submit tenders in response to future restricted invitations to tender, or to collect a list of vendors to be invited to submit requests to participate or submit tenders; (c) the design contest to acquire a plan or design selected by a jury after being put out to competition; (d) the innovation partnership to develop an innovative product, service or innovative works and for the subsequent purchase of the resulting supply, services or works; (e) the competitive procedure with negotiation or the competitive dialogue for concession contracts, for the service contracts referred to in Annex XIV to Directive 2014/24/EU, in cases where only irregular or unacceptable tenders were submitted in response to an open or restricted procedure after the initial procedure has been completed, and for cases where this is justified by the specific circumstances linked, inter alia, to the nature or the complexity of the subject matter of the contract or to the specific type of contract, as further detailed in Annex I to this Regulation; L 193/112  (f) the negotiated procedure for contracts with a value below the thresholds referred to in Article 175(1), or the negotiated procedure without prior publication for specific types of purchases falling outside the scope of Directive 2014/24/EU or in the clearly defined exceptional circumstances set out in Annex I to this Regulation. A dynamic purchasing system shall be open throughout its duration to any economic operator who satisfies the selection criteria. The contracting authority shall follow the rules of the restricted procedure for procurement through a dynamic purchasing system."
economic operator,submit,a request to participate by providing the information that is requested by the contracting authority in restricted procedures competitive dialogues competitive procedures with negotiation and innovation partner­ships,"['request', 'information', 'contracting authority', 'restrict procedure competitive dialogue competitive procedure', 'negotiation', 'innovation', 'partner\xadship']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures ,"Procurement procedures for awarding concession contracts or public contracts, including framework contracts shall take one of the following forms: (a) open procedure; (b) restricted procedure, including through a dynamic purchasing system; (c) design contest; (d) negotiated procedure, including without prior publication; (e) competitive dialogue; (f) competitive procedure with negotiation; (g) innovation partnership; (h) procedures involving a call for expression of interest. In open procedures any interested economic operator may submit a tender. In restricted procedures, competitive dialogues, competitive procedures with negotiation and innovation partner­ships, any economic operator may submit a request to participate by providing the information that is requested by the contracting authority. The contracting authority shall invite all candidates, that satisfy the selection criteria and that are not in any of the situations referred to in Articles 136(1) and 141(1), to submit a tender. Notwithstanding the first subparagraph, the contracting authority may limit the number of candidates to be invited to participate in the procedure on the basis of objective and non-discriminatory selection criteria, which shall be indicated in the contract notice or the call for expression of interest. The number of candidates invited shall be sufficient to ensure genuine competition. In all procedures involving negotiation, the contracting authority shall negotiate with tenderers the initial and any subsequent tenders or parts thereof, except their final tenders, in order to improve their content. The minimum requirements and the criteria specified in the procurement documents shall not be subject to negotiation. A contracting authority may award a contract on the basis of the initial tender without negotiation where it has indicated in the procurement documents that it reserves the possibility to do so. The contracting authority may use: (a) the open or restricted procedure for any purchase; (b) the procedures involving a call for expression of interest for contracts with a value below the thresholds referred to in Article 175(1), to preselect candidates to be invited to submit tenders in response to future restricted invitations to tender, or to collect a list of vendors to be invited to submit requests to participate or submit tenders; (c) the design contest to acquire a plan or design selected by a jury after being put out to competition; (d) the innovation partnership to develop an innovative product, service or innovative works and for the subsequent purchase of the resulting supply, services or works; (e) the competitive procedure with negotiation or the competitive dialogue for concession contracts, for the service contracts referred to in Annex XIV to Directive 2014/24/EU, in cases where only irregular or unacceptable tenders were submitted in response to an open or restricted procedure after the initial procedure has been completed, and for cases where this is justified by the specific circumstances linked, inter alia, to the nature or the complexity of the subject matter of the contract or to the specific type of contract, as further detailed in Annex I to this Regulation; L 193/112  (f) the negotiated procedure for contracts with a value below the thresholds referred to in Article 175(1), or the negotiated procedure without prior publication for specific types of purchases falling outside the scope of Directive 2014/24/EU or in the clearly defined exceptional circumstances set out in Annex I to this Regulation. A dynamic purchasing system shall be open throughout its duration to any economic operator who satisfies the selection criteria. The contracting authority shall follow the rules of the restricted procedure for procurement through a dynamic purchasing system."
contracting authority,invite,all candidates that satisfy the selection criteria,"['candidate', 'selection criterion']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures ,"Procurement procedures for awarding concession contracts or public contracts, including framework contracts shall take one of the following forms: (a) open procedure; (b) restricted procedure, including through a dynamic purchasing system; (c) design contest; (d) negotiated procedure, including without prior publication; (e) competitive dialogue; (f) competitive procedure with negotiation; (g) innovation partnership; (h) procedures involving a call for expression of interest. In open procedures any interested economic operator may submit a tender. In restricted procedures, competitive dialogues, competitive procedures with negotiation and innovation partner­ships, any economic operator may submit a request to participate by providing the information that is requested by the contracting authority. The contracting authority shall invite all candidates, that satisfy the selection criteria and that are not in any of the situations referred to in Articles 136(1) and 141(1), to submit a tender. Notwithstanding the first subparagraph, the contracting authority may limit the number of candidates to be invited to participate in the procedure on the basis of objective and non-discriminatory selection criteria, which shall be indicated in the contract notice or the call for expression of interest. The number of candidates invited shall be sufficient to ensure genuine competition. In all procedures involving negotiation, the contracting authority shall negotiate with tenderers the initial and any subsequent tenders or parts thereof, except their final tenders, in order to improve their content. The minimum requirements and the criteria specified in the procurement documents shall not be subject to negotiation. A contracting authority may award a contract on the basis of the initial tender without negotiation where it has indicated in the procurement documents that it reserves the possibility to do so. The contracting authority may use: (a) the open or restricted procedure for any purchase; (b) the procedures involving a call for expression of interest for contracts with a value below the thresholds referred to in Article 175(1), to preselect candidates to be invited to submit tenders in response to future restricted invitations to tender, or to collect a list of vendors to be invited to submit requests to participate or submit tenders; (c) the design contest to acquire a plan or design selected by a jury after being put out to competition; (d) the innovation partnership to develop an innovative product, service or innovative works and for the subsequent purchase of the resulting supply, services or works; (e) the competitive procedure with negotiation or the competitive dialogue for concession contracts, for the service contracts referred to in Annex XIV to Directive 2014/24/EU, in cases where only irregular or unacceptable tenders were submitted in response to an open or restricted procedure after the initial procedure has been completed, and for cases where this is justified by the specific circumstances linked, inter alia, to the nature or the complexity of the subject matter of the contract or to the specific type of contract, as further detailed in Annex I to this Regulation; L 193/112  (f) the negotiated procedure for contracts with a value below the thresholds referred to in Article 175(1), or the negotiated procedure without prior publication for specific types of purchases falling outside the scope of Directive 2014/24/EU or in the clearly defined exceptional circumstances set out in Annex I to this Regulation. A dynamic purchasing system shall be open throughout its duration to any economic operator who satisfies the selection criteria. The contracting authority shall follow the rules of the restricted procedure for procurement through a dynamic purchasing system."
contracting authority,limit,the number of candidates to be invited to participate in the procedure on the basis of objective and nondiscriminatory selection criteria which shall be indicated in the contract notice or the call for expression of interest notwithstanding the first subparagraph,"['number', 'candidate', 'procedure', 'basis', 'objective nondiscriminatory selection criterion', 'contract notice', 'expression', 'interest', 'subparagraph']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures ,"Procurement procedures for awarding concession contracts or public contracts, including framework contracts shall take one of the following forms: (a) open procedure; (b) restricted procedure, including through a dynamic purchasing system; (c) design contest; (d) negotiated procedure, including without prior publication; (e) competitive dialogue; (f) competitive procedure with negotiation; (g) innovation partnership; (h) procedures involving a call for expression of interest. In open procedures any interested economic operator may submit a tender. In restricted procedures, competitive dialogues, competitive procedures with negotiation and innovation partner­ships, any economic operator may submit a request to participate by providing the information that is requested by the contracting authority. The contracting authority shall invite all candidates, that satisfy the selection criteria and that are not in any of the situations referred to in Articles 136(1) and 141(1), to submit a tender. Notwithstanding the first subparagraph, the contracting authority may limit the number of candidates to be invited to participate in the procedure on the basis of objective and non-discriminatory selection criteria, which shall be indicated in the contract notice or the call for expression of interest. The number of candidates invited shall be sufficient to ensure genuine competition. In all procedures involving negotiation, the contracting authority shall negotiate with tenderers the initial and any subsequent tenders or parts thereof, except their final tenders, in order to improve their content. The minimum requirements and the criteria specified in the procurement documents shall not be subject to negotiation. A contracting authority may award a contract on the basis of the initial tender without negotiation where it has indicated in the procurement documents that it reserves the possibility to do so. The contracting authority may use: (a) the open or restricted procedure for any purchase; (b) the procedures involving a call for expression of interest for contracts with a value below the thresholds referred to in Article 175(1), to preselect candidates to be invited to submit tenders in response to future restricted invitations to tender, or to collect a list of vendors to be invited to submit requests to participate or submit tenders; (c) the design contest to acquire a plan or design selected by a jury after being put out to competition; (d) the innovation partnership to develop an innovative product, service or innovative works and for the subsequent purchase of the resulting supply, services or works; (e) the competitive procedure with negotiation or the competitive dialogue for concession contracts, for the service contracts referred to in Annex XIV to Directive 2014/24/EU, in cases where only irregular or unacceptable tenders were submitted in response to an open or restricted procedure after the initial procedure has been completed, and for cases where this is justified by the specific circumstances linked, inter alia, to the nature or the complexity of the subject matter of the contract or to the specific type of contract, as further detailed in Annex I to this Regulation; L 193/112  (f) the negotiated procedure for contracts with a value below the thresholds referred to in Article 175(1), or the negotiated procedure without prior publication for specific types of purchases falling outside the scope of Directive 2014/24/EU or in the clearly defined exceptional circumstances set out in Annex I to this Regulation. A dynamic purchasing system shall be open throughout its duration to any economic operator who satisfies the selection criteria. The contracting authority shall follow the rules of the restricted procedure for procurement through a dynamic purchasing system."
number candidate invite,be,sufficient to ensure genuine competition,['genuine competition'],TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures ,"Procurement procedures for awarding concession contracts or public contracts, including framework contracts shall take one of the following forms: (a) open procedure; (b) restricted procedure, including through a dynamic purchasing system; (c) design contest; (d) negotiated procedure, including without prior publication; (e) competitive dialogue; (f) competitive procedure with negotiation; (g) innovation partnership; (h) procedures involving a call for expression of interest. In open procedures any interested economic operator may submit a tender. In restricted procedures, competitive dialogues, competitive procedures with negotiation and innovation partner­ships, any economic operator may submit a request to participate by providing the information that is requested by the contracting authority. The contracting authority shall invite all candidates, that satisfy the selection criteria and that are not in any of the situations referred to in Articles 136(1) and 141(1), to submit a tender. Notwithstanding the first subparagraph, the contracting authority may limit the number of candidates to be invited to participate in the procedure on the basis of objective and non-discriminatory selection criteria, which shall be indicated in the contract notice or the call for expression of interest. The number of candidates invited shall be sufficient to ensure genuine competition. In all procedures involving negotiation, the contracting authority shall negotiate with tenderers the initial and any subsequent tenders or parts thereof, except their final tenders, in order to improve their content. The minimum requirements and the criteria specified in the procurement documents shall not be subject to negotiation. A contracting authority may award a contract on the basis of the initial tender without negotiation where it has indicated in the procurement documents that it reserves the possibility to do so. The contracting authority may use: (a) the open or restricted procedure for any purchase; (b) the procedures involving a call for expression of interest for contracts with a value below the thresholds referred to in Article 175(1), to preselect candidates to be invited to submit tenders in response to future restricted invitations to tender, or to collect a list of vendors to be invited to submit requests to participate or submit tenders; (c) the design contest to acquire a plan or design selected by a jury after being put out to competition; (d) the innovation partnership to develop an innovative product, service or innovative works and for the subsequent purchase of the resulting supply, services or works; (e) the competitive procedure with negotiation or the competitive dialogue for concession contracts, for the service contracts referred to in Annex XIV to Directive 2014/24/EU, in cases where only irregular or unacceptable tenders were submitted in response to an open or restricted procedure after the initial procedure has been completed, and for cases where this is justified by the specific circumstances linked, inter alia, to the nature or the complexity of the subject matter of the contract or to the specific type of contract, as further detailed in Annex I to this Regulation; L 193/112  (f) the negotiated procedure for contracts with a value below the thresholds referred to in Article 175(1), or the negotiated procedure without prior publication for specific types of purchases falling outside the scope of Directive 2014/24/EU or in the clearly defined exceptional circumstances set out in Annex I to this Regulation. A dynamic purchasing system shall be open throughout its duration to any economic operator who satisfies the selection criteria. The contracting authority shall follow the rules of the restricted procedure for procurement through a dynamic purchasing system."
